ID,Username,Alias,Email,"Is Email
Hidden",Password,Phone,Website,Contacts,Birthdate,Title,Avatar,City,Biography,First Useragent,First IP,Is Banned,"Is Communication
Banned",Roles,Sorting,Created At,Edited At,Deleted At,Is Deleted,"Is Allowed Adv
Notifications"
11,Harry Potter,,potter@hogwarts.uk,FALSE,123456,+10001112233,,"[{""contact"": ""facebook"", ""value"": ""harrypottermovie""}, {""contact"": ""instagram"", ""value"": ""harrypotterfilm""}, {""contact"": ""skype"", ""value"": ""harrypotter""}]",1980-07-31,,11.jpg,Godric's Hollow,[],"Mozilla/5.0 (Linux; Android 11; SM-A505FM) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.120 Mobile Safari/537.36",127.0.0.11,FALSE,FALSE,ROLE_USER,1,-1 year 2457 hours 20 minutes 43 seconds,-57 minutes 57 seconds,NULL,FALSE,TRUE
12,Ron Weasley,,ron.weasley@hogwarts.uk,FALSE,123456,,,[],1980-03-01,,12.jpg,Devon,[],"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.164 Safari/537.36",127.0.0.12,FALSE,FALSE,ROLE_USER,1,-1 year 2415 hours 13 minutes 35 seconds,-15 minutes 3 seconds,NULL,FALSE,FALSE
13,Hermione Granger,,granger@hogwarts.uk,FALSE,123456,+10007776655,,[],1979-09-19,,13.jpg,,[],"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.164 Safari/537.36",127.0.0.13,FALSE,FALSE,ROLE_USER,1,-1 year 2352 hours 57 minutes 6 seconds,-52 minutes 6 seconds,NULL,FALSE,TRUE
14,Neville Longbottom,,longbottom@hogwarts.uk,FALSE,123456,,,[],1980-07-30,,14.jpg,,"[{""type"":""paragraph"", ""data"": {""text"": ""Professor Neville Longbottom was a British pure-blood wizard, the only child and son of Frank and Alice Longbottom. Neville's parents were well-respected Aurors and members of the original Order of the Phoenix until they were tortured into insanity by Bellatrix Lestrange and three other Death Eaters with the Cruciatus Curse when he was about sixteen months old. They were placed in the Janus Thickey Ward at St Mungo's Hospital for Magical Maladies and Injuries, leaving Neville to be raised by his grandmother, Augusta Longbottom.""}}]","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.164 Safari/537.36",127.0.0.14,FALSE,FALSE,ROLE_USER,1,-1 year 2247 hours 10 minutes 5 seconds,-47 minutes 22 seconds,NULL,FALSE,TRUE
15,Draco Malfoy,,malfoy@hogwarts.uk,TRUE,123456,,,[],1980-06-05,,15.jpg,,[],"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 YaBrowser/21.6.1.274 Yowser/2.5 Safari/537.36",127.0.0.15,FALSE,TRUE,ROLE_USER,1,-1 year 2184 hours 23 minutes 44 seconds,-84 minutes 15 seconds,NULL,FALSE,TRUE
16,Luna Lovegood,,lovegood@hogwarts.uk,FALSE,123456,,,[],1981-02-13,,16.jpg,United Kingdom,[],"Mozilla/5.0 (Linux; U; Android 10; ru-ru; Redmi 7A Build/QKQ1.191014.001) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/71.0.3578.141 Mobile Safari/537.36 XiaoMi/MiuiBrowser/12.4.4-g",127.0.0.16,FALSE,FALSE,ROLE_USER,1,-1 year 2121 hours 14 minutes 39 seconds,NULL,NULL,FALSE,TRUE
17,Hannah Abbot,,abbot@hogwarts.uk,FALSE,123456,,,[],NULL,,,,[],"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36",127.0.0.17,FALSE,FALSE,ROLE_USER,1,-1 year 2016 hours 54 minutes 32 seconds,NULL,NULL,FALSE,TRUE
18,Justin Finch-Fletchley,,finch-fletchley@hogwarts.uk,FALSE,123456,,,[],NULL,,,,[],"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36",127.0.0.18,FALSE,FALSE,ROLE_USER,1,-1 year 1785 hours 4 minutes 13 seconds,NULL,NULL,FALSE,TRUE
19,Nymphadora Tonks,,tonks@hogwarts.uk,FALSE,123456,,,[],NULL,,,,[],"Mozilla/5.0 (Linux; arm; Android 10; DNN-LX9) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.216 YaBrowser/21.5.1.120.00 SA/3 Mobile Safari/537.36",127.0.0.19,FALSE,FALSE,ROLE_USER,1,-1 year 1680 hours 48 minutes 30 seconds,NULL,NULL,FALSE,TRUE
20,Ginny Weasley,,ginny.weasley@hogwarts.uk,FALSE,123456,,,[],1981-08-11,,20.jpg,Devon,[],"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36 Edg/91.0.864.67",127.0.0.20,FALSE,FALSE,ROLE_USER,1,-1 year 1512 hours 25 minutes 57 seconds,NULL,NULL,FALSE,TRUE
21,Graham Montagu,,montague@hogwarts.uk,FALSE,123456,,,[],NULL,,,,[],"Mozilla/5.0 (Linux; Android 11; SAMSUNG SM-G975F) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/14.2 Chrome/87.0.4280.141 Mobile Safari/537.36",127.0.0.21,FALSE,FALSE,ROLE_USER,1,-1 year 1449 hours 6 minutes 56 seconds,NULL,NULL,FALSE,TRUE
22,Gormlaith Gloom,,light@hogwarts.uk,FALSE,123456,,,[],NULL,,,,[],"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36",127.0.0.22,FALSE,FALSE,ROLE_USER,1,-1 year 1365 hours 50 minutes 46 seconds,NULL,NULL,FALSE,TRUE
23,Blaise Zabini,,zabini@hogwarts.uk,FALSE,123456,,,[],NULL,,,,[],"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36",127.0.0.23,FALSE,FALSE,ROLE_USER,1,-1 year 1239 hours 14 minutes 8 seconds,NULL,NULL,FALSE,TRUE
24,Barnaby Lee,,lee@hogwarts.uk,FALSE,123456,,,[],NULL,,,,[],"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36 OPR/77.0.4054.203",127.0.0.24,FALSE,FALSE,ROLE_USER,1,-1 year 1155 hours 1 minutes 55 seconds,NULL,NULL,FALSE,TRUE
25,Zhou Chang,,chang@hogwarts.uk,FALSE,123456,,,[],NULL,,,,[],"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.2 Safari/605.1.15",127.0.0.25,FALSE,FALSE,ROLE_USER,1,-1 year 903 hours 15 minutes 30 seconds,NULL,NULL,FALSE,TRUE
26,Marcus Belby,,belby@hogwarts.uk,FALSE,123456,,,[],NULL,,,,[],"Mozilla/5.0 (iPhone; CPU iPhone OS 14_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.2 Mobile/15E148 Safari/604.1",127.0.0.26,FALSE,FALSE,ROLE_USER,1,-1 year 714 hours 11 minutes 18 seconds,NULL,NULL,FALSE,TRUE
27,Tulip Karasu,,karasu@hogwarts.uk,FALSE,123456,,,[],NULL,,,,[],"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36 Edg/91.0.864.59",127.0.0.27,FALSE,FALSE,ROLE_USER,1,-1 year 525 hours 58 minutes 38 seconds,NULL,NULL,FALSE,TRUE
28,Andre Egwu,,egwu@hogwarts.uk,FALSE,123456,,,[],NULL,,,,[],"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.106 YaBrowser/21.6.0.620 Yowser/2.5 Safari/537.36",127.0.0.28,FALSE,FALSE,ROLE_USER,1,-1 year 462 hours 13 minutes 57 seconds,NULL,NULL,FALSE,TRUE
29,Peregrine Derrek,,derrek@hogwarts.uk,FALSE,123456,,,[],NULL,,,,[],"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36 Edg/91.0.864.64",127.0.0.29,FALSE,FALSE,ROLE_USER,1,-1 year 357 hours 56 minutes 3 seconds,NULL,NULL,FALSE,TRUE
30,Gregory Goyle,,goyle@hogwarts.uk,FALSE,123456,,,[],NULL,,,,[],"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36",127.0.0.30,FALSE,FALSE,ROLE_USER,1,-1 year 273 hours 27 minutes 6 seconds,NULL,NULL,FALSE,TRUE
31,Pansy Parkinson,,parkinson@hogwarts.uk,FALSE,123456,,,[],NULL,,,,[],"Mozilla/5.0 (Windows NT 6.2; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36",127.0.0.31,FALSE,FALSE,ROLE_USER,1,-1 year 189 hours 41 minutes 22 seconds,NULL,-1 month 3 hours 4 seconds,TRUE,FALSE
32,Lucian Bowl,,bowl@hogwarts.uk,FALSE,123456,,,[],NULL,,,,[],"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36",127.0.0.32,FALSE,FALSE,ROLE_USER,1,-1 year 57 hours 43 minutes 15 seconds,NULL,NULL,FALSE,TRUE
